path	sha256	doc_id
AGENTS.md	248b6f54e2874712340b3dcdf025d4e219e856240e9134af85125aa3ea627aed	-
Finance_Intelligence_OS_完整会话归档.md	2f76b9a257f0baa1c30d5995a49f17bdbacf519f3a33668383f1f39c69c7faea	-
HANDOFF.md	24edd5a19aebe5b3ceafd7caf965acfd309187b855ed864c1bf0c746b893b26b	-
README.md	6704ae9782348ba32a68437fb7c731ea51790b45a19343f92267015130b9c171	-
docs/2026-09-07-documentation-governance.md	dec7df19fe5ae3922251d7f4c9413c4d4e717b380b179dc46b5c68ec285d170c	-
docs/README.md	966a02c97825f293b2e300e30540c7fd4ff96b1dd6ad302506d5d2b934572c1e	-
docs/api-reference.md	56ecacf2a18ca0dd70e8d43f7fb2eb90f51381784957631fcf54b6d3e4fffb44	-
docs/architecture/flow-v1-domain-objects.md	64c60a27d3b9179ed85a75225d3abedfc25987fb0dd49f365dedb932217edcfa	-
docs/architecture/flow-v1-runtime.md	32f09ffba1f25d6dc8e79469594aedfe77724e6e7b292b79ff277867a638e736	-
docs/assets/screenshots/README.md	5300fd9608e3d85b2518ab855bd41a09732e00719a084ad41ac40096facdfbb8	-
docs/data-contract/flow-v1.md	52515421d0d6ae1ee8cf2c57e9c8bbe56c264ff56f4c1e4e659caee95c89a2b0	-
docs/documentation-status.md	76b6c1a7a1f0a38203ecfed2154f52a923f1f42ef11c5490654020f24fbb2909	-
docs/implementation/2026-08-30-phase-1-verification.md	2c0e2fdeee088bae9db0f84a3c701cf058ee95d914f1f8d7fc4aa9809d417763	-
docs/implementation/2026-08-30-phase-2-verification.md	8f5b39982890519d5bfc825ae492dafa0ac79ad24a95cb5aa975084e40813bbd	-
docs/implementation/2026-08-31-phase-3-verification.md	c73591552e05bc63aa3ab0d9dd0ad2d6bf225d042cd0307d77b335cff474075d	-
docs/implementation/2026-09-01-phase-4-verification.md	db2d60be99ceffe1814065f1a0155719931f9db54f9122b417d8335509b61593	-
docs/implementation/2026-09-01-phase-5-verification.md	9d0f26679f1788317ef73cc705cbc0019db80fe006a0660182563d1691f47953	-
docs/implementation/2026-09-02-phase-10-acceptance.md	e7482430131451b715e48a093bc9256af349aa8229a56d6dfe9e839aee9315ab	-
docs/implementation/2026-09-02-phase-6-dashboard-fidelity.md	a0ce656639bd190f20d66ea57396faea56ae9149f955797eba360063a825614c	-
docs/implementation/2026-09-02-phase-6-verification.md	691dbe1d2ec2d906d051eda0b1e8c004ddd940aa8f801ebd06d8fdf8e803275c	-
docs/implementation/2026-09-02-phase-7-verification.md	77b765230cf3de879750391b43ebc5fea143efbc76e3c98a4cd412c7a021ad2b	-
docs/implementation/2026-09-02-phase-8-verification.md	3f1889f592feb5e5d3f6e42cdeffeae0335f650ef722cff59df7397a6772a470	-
docs/implementation/2026-09-02-phase-9-verification.md	ff4dcf1b31c35e542b41218798a46b691693f516d472b9caa1895a8d3209ab82	-
docs/implementation/2026-09-04-documentation-refresh.md	83b158b06fc80442dfcefe1016d3ffa19542b8586aac86074e82810bdf27d755	-
docs/implementation/2026-09-04-phase-pilot-1-user-closure.md	8bf3b1feed9b002bbc0a2f6e382a95937510e31eda58c3ebc35e4325b6d69599	-
docs/implementation/2026-09-04-review-repairs.md	b59420c70acbdef05413e46af8fa68014a39b61f7ca10d1b3c8c9b5b48b2f6cb	-
docs/implementation/2026-09-05-ci-repair.md	62756fbff16f9efe53747dc0d0ac2596654b1aa49640b7c1a21099fd4fa9e5a8	-
docs/implementation/2026-09-05-p5-first-extraction.md	4b77df44ce371031bae536651edd1f1223f8fea7bcce31372ae9d941d2b98608	-
docs/implementation/2026-09-06-shell-metric-library-s3-proxy.md	ae50dc50fd04923eb2fe06d62f16205da1ea58cf9bf691472df8af2ec42feb04	-
docs/implementation/metric-library-v1.1.md	c82f340efebe698db528c1ce1a691da7458c1c25acfd36ac96e7852c2f91fca5	-
docs/implementation/objective-analysis/2026-09-06-baseline-audit.md	6e75453b61c38980d1f46f3f43a498a24398a5ad0eac31af8b431885e9ad4f2c	-
docs/implementation/objective-analysis/2026-09-06-caliber-audit.md	f91207559386ccb5e048d15d302fe7f6301e5e3d0a68db7dcb73c950a9895aea	-
docs/implementation/objective-analysis/2026-09-07-format-review.md	9dc540c3394ce66642a9b96681bfe742161da2b1908795a32e730896c3a1c656	-
docs/implementation/objective-analysis/metric-execution-coverage.md	11243cf6a3a2932056d99d64ce08874f1522ea4d50bee4057efa8bd93380c907	-
docs/implementation/objective-analysis/next-stage-baseline.md	077872971863defd3bd3dbb0d00e2bbafff27b254b5c297a527cd497aa2390ab	-
docs/implementation/p5/P5-validation-summary.md	444367eeb03896e9611bb594e412c1026196c342d70b604257bda5259685e357	-
docs/implementation/p5/metric_coverage_matrix.md	6ec85ccc0af6068d615d92a968e0868b3df19555be4ad015540e255e06e47003	-
docs/implementation/p5/sf_2026q1_diff_report.md	85b2c4fa34704750658d9c234f801dc8ffd1f5a32fa89da5115aff5f00a8d766	-
docs/intake/flow-v1-intake.md	c7e5af56cc44b8723fbb26c3a8a06aa79d3a531869807e46ffbb3851718cae33	-
docs/knowledge-base/00_start_here/2026-09-07-project-state-history.md	df51c9b65fd77b34d5f53d3607d39d3ec40e0c56c410ebe5f105bdfc66c5f96c	-
docs/knowledge-base/00_start_here/AGENT_START_HERE.md	5e3c0d7a1c8597906a865442b729124f53100dea7566c9f660e66a4445ec975c	-
docs/knowledge-base/00_start_here/PROJECT_STATE.md	fe7b25ab4725ededddb644df1a49b1fca4350a1c2b134236d95607efc9f2605d	-
docs/knowledge-base/01_conversations/INDEX.md	5046991b7f56353e4d4c97a7c8532fbd76b83a844ecaa383c5ed4a1dfe7cb7b8	-
docs/knowledge-base/01_conversations/readable/2026-09-02-positioning-accurate-financial-analysis.md	38ef6164ca0bfcc761b2f653a16d1478c7a06e196a1e703054cdb9c61208b630	-
